Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Artist Lifespan,Gender,Date,Length (cm),Width (cm)
Automobile Upholstery Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,7.6,6.7
Automobile Upholstery Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,7.6,6.7
Bedspread Material for Harvard Graduate Center Dormitory,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1949,30.4801,25.4001
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,5.4,15.6
Automobile Upholstery Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,7.3,6.7
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,9.5,14.6
Room-Dividing Curtain Material for Harvard Graduate Center Dormitory,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1950,21.6,22.5
Woven Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,43.8151,17.5
Room-Dividing Curtain Material for Harvard Graduate Center Dormitory,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1950,37.5,42.2
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,27,16.8
Automobile Upholstery Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,7.62,6.3
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,26.9876,18.4
Wall-Covering Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1950,29.2,12.1
Wall-Covering Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1950,28.6,12.7
Wall-Covering Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,26.6701,10.16
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,24.4,18.4
Drapery Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1941,37.4651,43.2
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1949,45.1,38.1
Automobile Upholstery Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,7.6,6.7
Woven Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,23.8125,20.0025
Good Grips Paring Knife,"Smart Design, New York",10725,"(American, est. 1979)",(American),1979,0,0,(),1989,19.7,3.5
Woven Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1951,22.86,16.5
Woven Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1951,24.765,16.5
Woven Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1951,21,17.1
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1951,14.605,8.3
Upholstery Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,5.4,5.6
Casement Cloth,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1950,27.6226,17.1
Woven Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,14.9225,18.7
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1951,12.7,8.3
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,13.97,7
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,16.51,13.6525
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,22.225,17.8
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1959,19,17.8
Casement Cloth Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,7.62,17.8
Woven Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,22.225,12
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1944,18.4,15.6
Woven Fabric Samples,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1933,3.81,9.525
Casement Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1960,41.9,36.8
Wall-Covering Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,13.335,20.3
Wall-Covering Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),After 1933,12.1,15.6
Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1940,17.8,22.9
"Window Curtain Fabric Sample for Theater Cafe, Dessau",Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1927,7,105.4
Display Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1947,31.1,52.1
Display-Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1949,42.5451,48.9
Display Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1944,88.9,96.5
Double Faced Rug,Bart van der Leck,6072,"(Dutch, 1876–1958)",(Dutch),1876,1958,82,(Male),1929–1935,124.5,55.2
Fabric Sample,Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),1897,1983,86,(Female),c. 1932-66,24.765,19
Fabric Sample,Gunta Stölzl,5675,"(Swiss, born Germany. 1897–1983)",(Swiss),1897,1983,86,(Female),c. 1932-66,95.2502,78.7402
Lobster Pick,Peter Sciascin,5294,(American),(American),0,0,0,(Male),Unknown,20.955,1.905
Pruning Shears,Rudolf Moethe,4042,(German),(German),0,0,0,(Male),1951,21,5.1
Knife,Ward Bennett,478,"(American, 1917–2003)",(American),1917,2003,86,(Male),1980,23.495,2.3
Spoon,Ward Bennett,478,"(American, 1917–2003)",(American),1917,2003,86,(Male),1980,19.2088,3.6
Desert Spoon,Ward Bennett,478,"(American, 1917–2003)",(American),1917,2003,86,(Male),1980,16.1925,3
Fork,Ward Bennett,478,"(American, 1917–2003)",(American),1917,2003,86,(Male),1980,19.2,1.905
Salad Fork,Ward Bennett,478,"(American, 1917–2003)",(American),1917,2003,86,(Male),1980,16.8275,1.905
Tablecloth Fabric Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1930,59.3,72.4
Carving Fork,Vico Magistretti,3688,"(Italian, 1920–2006)",(Italian),1920,2006,86,(Male),1980,32.8,1.905
Carving Knife,Vico Magistretti,3688,"(Italian, 1920–2006)",(Italian),1920,2006,86,(Male),1980,33,3.2
Twist Tray for Crushed Ice,Gits Molding Corp.,2181,(American),(American),0,0,0,(),c. 1953,25.4001,10.2
Watch,Flemming Bo Hansen,7150,"(Danish, born 1955)",(Danish),1955,0,0,(Male),1989,23.2,2.2
Shoemaker's Tool,Sargent & Co.,10034,,(American),0,0,0,(),1916,30.4801,13.0175
Bottle Opener,John Hays Hammond,2485,"(American, 1888–1965)",(American),1888,1965,77,(Male),1948,15.9,1.5875
Storage Boxes with Covers,Unidentified Designer,6021,(American),(American),0,0,0,(),Unknown,4.7625,2.2225
Roast Clamp,"The Richter & Phillips Co., Cincinatti, OH",11064,,(American),0,0,0,(),c. 1941,28.3,9.1
Braquette Picture Frame,Nathan George Horwitt,2730,"(American, 1898–1990)",(American),1898,1990,92,(Male),Before 1941,11.4,1.8
Vegetable Peeler,Unidentified Designer,6021,(American),(American),0,0,0,(),Before 1941,16.5,1.9
Chaise Longue,Marcel Breuer,769,"(American, born Hungary. 1902–1981)",(American),1902,1981,79,(Male),1935-1936,147.3,61
Upholstery fabric sample (no. 13304),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),1941,134.67,68.6
Fabric Upholstery (no. 13304),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,132.0803,63.5
Upholstery fabric sample (no. 13304),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,62.5476,42.2
Upholstery fabric sample (No.13307),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,61,61
Upholstery fabric sample (no.13308),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,58.4,57.1
Fabric sample (no. 13309),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),1941,62.5,62.5
Upholstery fabric,Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),1941,80,66
Upholstery fabric sample (no.13305),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,58.4,43.2
Upholstery fabric sample (no. 13306),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,59,50.8
Fabric (no. 13309),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,205.7,133.3
Fabric (no. 13309),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,66,60.3
Fabric (no. 13308),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,63.5,66
Fabric (no. 13308),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,68.6,66
Fabric (no. 13308),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,66,64.8
Fabric (no. 13309),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,71.1,65.4
Fabric (no. 13305),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,125.7,73.6601
Fabric (no. 13305),Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1940,213.4,127
Printed Fabric,Virginia Nepodal,4262,"(American, 1914–2009)",(American),1914,2009,95,(Female),c. 1940,119.4,80
Combination of Reeds,Noémi Raymond,36881,"(American, born France. 1889–1980)",(American),1889,1980,91,(Female),c.1940,203.2,121.9
Blue Square,Noémi Raymond,36881,"(American, born France. 1889–1980)",(American),1889,1980,91,(Female),c. 1941,124.5,114.3
"Strips, Trunks, Trees, Dots",Noémi Raymond,36881,"(American, born France. 1889–1980)",(American),1889,1980,91,(Female),late 1930s,198.1204,114.3
"Blobs, Leaf",Noémi Raymond,36881,"(American, born France. 1889–1980)",(American),1889,1980,91,(Female),c. 1940,172.7,114.3
"Squares, Blobs, Speckles",Noémi Raymond,36881,"(American, born France. 1889–1980)",(American),1889,1980,91,(Female),c. 1940,226,116.8
Chinese Coins,Noémi Raymond,36881,"(American, born France. 1889–1980)",(American),1889,1980,91,(Female),c.1940,96.5,82.5
Circles,Noémi Raymond,36881,"(American, born France. 1889–1980)",(American),1889,1980,91,(Female),c.1939-40,194.3104,111.1252
"Combination of Strips, Reeds",Noémi Raymond,36881,"(American, born France. 1889–1980)",(American),1889,1980,91,(Female),c.1940,172.7,116.8
Circles,Noémi Raymond,36881,"(American, born France. 1889–1980)",(American),1889,1980,91,(Female),c.1941,205.7404,119.4
Woven Upholstery Fabric,Ulla af Ugglas,6003,"(Swedish, born 1916)",(Swedish),1916,0,0,(Female),c. 1936-41,92.7,33
